date,spread,pips,weekday,hour
2023-01-16 09:00:00,0.0435,435.0,Monday,9
2023-01-16 10:00:00,,,Monday,10
2023-01-16 11:00:00,,,Monday,11
2023-01-16 12:00:00,,,Monday,12
2023-01-16 13:00:00,,,Monday,13
2023-01-16 14:00:00,,,Monday,14
2023-01-16 15:00:00,,,Monday,15
2023-01-16 16:00:00,,,Monday,16
2023-01-16 17:00:00,,,Monday,17
2023-01-16 18:00:00,,,Monday,18
2023-01-16 19:00:00,,,Monday,19
2023-01-16 20:00:00,,,Monday,20
2023-01-16 21:00:00,,,Monday,21
2023-01-16 22:00:00,,,Monday,22
2023-01-16 23:00:00,,,Monday,23
2023-01-17 00:00:00,,,Tuesday,0
2023-01-17 01:00:00,,,Tuesday,1
2023-01-17 02:00:00,,,Tuesday,2
2023-01-17 03:00:00,,,Tuesday,3
2023-01-17 04:00:00,,,Tuesday,4
2023-01-17 05:00:00,,,Tuesday,5
2023-01-17 06:00:00,,,Tuesday,6
2023-01-17 07:00:00,,,Tuesday,7
2023-01-17 08:00:00,,,Tuesday,8
2023-01-17 09:00:00,,,Tuesday,9
2023-01-17 10:00:00,,,Tuesday,10
2023-01-17 11:00:00,,,Tuesday,11
2023-01-17 12:00:00,,,Tuesday,12
2023-01-17 13:00:00,,,Tuesday,13
2023-01-17 14:00:00,,,Tuesday,14
2023-01-17 15:00:00,,,Tuesday,15
2023-01-17 16:00:00,,,Tuesday,16
2023-01-17 17:00:00,,,Tuesday,17
2023-01-17 18:00:00,,,Tuesday,18
2023-01-17 19:00:00,,,Tuesday,19
2023-01-17 20:00:00,,,Tuesday,20
2023-01-17 21:00:00,,,Tuesday,21
2023-01-17 22:00:00,,,Tuesday,22
2023-01-17 23:00:00,,,Tuesday,23
2023-01-18 00:00:00,,,Wednesday,0
2023-01-18 01:00:00,,,Wednesday,1
2023-01-18 02:00:00,,,Wednesday,2
2023-01-18 03:00:00,,,Wednesday,3
2023-01-18 04:00:00,,,Wednesday,4
2023-01-18 05:00:00,,,Wednesday,5
2023-01-18 06:00:00,,,Wednesday,6
2023-01-18 07:00:00,,,Wednesday,7
2023-01-18 08:00:00,,,Wednesday,8
2023-01-18 09:00:00,,,Wednesday,9
2023-01-18 10:00:00,,,Wednesday,10
2023-01-18 11:00:00,,,Wednesday,11
2023-01-18 12:00:00,,,Wednesday,12
2023-01-18 13:00:00,,,Wednesday,13
2023-01-18 14:00:00,,,Wednesday,14
2023-01-18 15:00:00,,,Wednesday,15
2023-01-18 16:00:00,,,Wednesday,16
2023-01-18 17:00:00,,,Wednesday,17
2023-01-18 18:00:00,,,Wednesday,18
2023-01-18 19:00:00,,,Wednesday,19
2023-01-18 20:00:00,,,Wednesday,20
2023-01-18 21:00:00,,,Wednesday,21
2023-01-18 22:00:00,,,Wednesday,22
2023-01-18 23:00:00,,,Wednesday,23
2023-01-19 00:00:00,,,Thursday,0
2023-01-19 01:00:00,,,Thursday,1
2023-01-19 02:00:00,,,Thursday,2
2023-01-19 03:00:00,,,Thursday,3
2023-01-19 04:00:00,,,Thursday,4
2023-01-19 05:00:00,,,Thursday,5
2023-01-19 06:00:00,,,Thursday,6
2023-01-19 07:00:00,,,Thursday,7
2023-01-19 08:00:00,,,Thursday,8
2023-01-19 09:00:00,,,Thursday,9
2023-01-19 10:00:00,,,Thursday,10
2023-01-19 11:00:00,,,Thursday,11
2023-01-19 12:00:00,,,Thursday,12
2023-01-19 13:00:00,,,Thursday,13
2023-01-19 14:00:00,,,Thursday,14
2023-01-19 15:00:00,,,Thursday,15
2023-01-19 16:00:00,,,Thursday,16
2023-01-19 17:00:00,,,Thursday,17
2023-01-19 18:00:00,,,Thursday,18
2023-01-19 19:00:00,,,Thursday,19
2023-01-19 20:00:00,,,Thursday,20
2023-01-19 21:00:00,,,Thursday,21
2023-01-19 22:00:00,,,Thursday,22
2023-01-19 23:00:00,,,Thursday,23
2023-01-20 00:00:00,,,Friday,0
2023-01-20 01:00:00,,,Friday,1
2023-01-20 02:00:00,,,Friday,2
2023-01-20 03:00:00,,,Friday,3
2023-01-20 04:00:00,,,Friday,4
2023-01-20 05:00:00,,,Friday,5
2023-01-20 06:00:00,,,Friday,6
2023-01-20 07:00:00,,,Friday,7
2023-01-20 08:00:00,,,Friday,8
2023-01-20 09:00:00,,,Friday,9
2023-01-20 10:00:00,,,Friday,10
2023-01-20 11:00:00,,,Friday,11
2023-01-20 12:00:00,,,Friday,12
2023-01-20 13:00:00,,,Friday,13
2023-01-20 14:00:00,,,Friday,14
2023-01-20 15:00:00,,,Friday,15
2023-01-20 16:00:00,,,Friday,16
2023-01-20 17:00:00,,,Friday,17
2023-01-20 18:00:00,,,Friday,18
2023-01-20 19:00:00,,,Friday,19
2023-01-20 20:00:00,,,Friday,20
2023-01-20 21:00:00,,,Friday,21
2023-01-20 22:00:00,,,Friday,22
2023-01-20 23:00:00,,,Friday,23
2023-01-21 00:00:00,,,Saturday,0
2023-01-21 01:00:00,,,Saturday,1
2023-01-21 02:00:00,,,Saturday,2
2023-01-21 03:00:00,,,Saturday,3
2023-01-21 04:00:00,,,Saturday,4
2023-01-21 05:00:00,,,Saturday,5
2023-01-21 06:00:00,,,Saturday,6
2023-01-21 07:00:00,,,Saturday,7
2023-01-21 08:00:00,,,Saturday,8
2023-01-21 09:00:00,,,Saturday,9
2023-01-21 10:00:00,,,Saturday,10
2023-01-21 11:00:00,,,Saturday,11
2023-01-21 12:00:00,,,Saturday,12
2023-01-21 13:00:00,,,Saturday,13
2023-01-21 14:00:00,,,Saturday,14
2023-01-21 15:00:00,,,Saturday,15
2023-01-21 16:00:00,,,Saturday,16
2023-01-21 17:00:00,,,Saturday,17
2023-01-21 18:00:00,,,Saturday,18
2023-01-21 19:00:00,,,Saturday,19
2023-01-21 20:00:00,,,Saturday,20
2023-01-21 21:00:00,,,Saturday,21
2023-01-21 22:00:00,,,Saturday,22
2023-01-21 23:00:00,,,Saturday,23
2023-01-23 00:00:00,,,Monday,0
2023-01-23 01:00:00,,,Monday,1
2023-01-23 02:00:00,,,Monday,2
2023-01-23 03:00:00,,,Monday,3
2023-01-23 04:00:00,,,Monday,4
2023-01-23 05:00:00,,,Monday,5
2023-01-23 06:00:00,,,Monday,6
2023-01-23 07:00:00,,,Monday,7
2023-01-23 08:00:00,,,Monday,8
